"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SELF","Global Self Storage, Inc.","5.0999","37824764.9234","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/self",
"GSOL","Global Sources Ltd.","9.05","216151385.55","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/gsol",
"GWRS","Global Water Resources, Inc.","8.16","159783130.56","n/a","2016","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/gwrs",
"KRMA","Global X Conscious Companies ETF","15.93","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/krma",
"FINX","Global X FinTech Thematic ETF","15.27","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/finx",
"ACTX","Global X Guru Activist ETF","14.16","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/actx",
"BFIT","Global X Health & Wellness Thematic ETF","14.55","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bfit",
"SNSR","Global X Internet of Things Thematic ETF","15.77","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/snsr",
"LNGR","Global X Longevity Thematic ETF","15.2653","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lngr",
"MILN","Global X Millennials Thematic ETF","15.8399","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/miln",
